0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 16
0, 1, 26, 6
8, 1, 26, 6
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 19
23, 1, 26, 19
23, 1, 26, 25
22, 1, 26, 25
22, 1, 26, 24
22, 1, 20, 24
18, 1, 20, 24
18, 1, 20, 25
18, 1, 20, 17
18, 1, 20, 16
18, 1, 6, 16
4, 1, 6, 16
4, 1, 6, 2
5, 1, 6, 2
5, 1, 7, 2
5, 1, 7, 3
5, 11, 7, 3
5, 11, 7, 13
5, 15, 7, 13
4, 15, 7, 13
4, 15, 6, 13
12, 15, 6, 13
12, 15, 14, 13
0,0,5,4,5,4,5,4,3,1,3,2,3,2,1,0,0,4,1,0,1,0,3,2,5,2,0,0
0, 1, 26, 27
0, 1, 26, 23
0, 1, 26, 22
0, 1, 26, 20
0, 1, 26, 21
0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 16
0, 1, 26, 6
8, 1, 26, 6
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 19
23, 1, 26, 19
23, 1, 26, 25
22, 1, 26, 25
22, 1, 26, 24
22, 1, 20, 24
18, 1, 20, 24
18, 1, 20, 25
18, 1, 20, 17
18, 1, 20, 16
10, 1, 20, 16
10, 1, 6, 16
10, 1, 6, 8
11, 1, 6, 8
3, 1, 6, 8
3, 1, 7, 8
3, 1, 7, 9
3, 11, 7, 9
13, 11, 7, 9
12, 11, 7, 9
12, 10, 7, 9
12, 10, 13, 9
12, 10, 13, 8
12, 10, 13, 14
12, 10, 13, 15
12, 14, 13, 15
0,0,5,4,5,4,4,0,3,1,3,2,3,2,5,1,0,4,1,0,1,0,3,2,5,2,0,0
0, 1, 26, 27
0, 1, 26, 23
0, 1, 26, 22
0, 1, 26, 20
0, 1, 26, 21
0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 16
0, 1, 26, 10
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
8, 1, 26, 2
9, 1, 26, 2
17, 1, 26, 2
17, 1, 26, 8
16, 1, 26, 8
18, 1, 26, 8
19, 1, 26, 8
19, 1, 26, 9
19, 1, 26, 17
19, 1, 26, 23
25, 1, 26, 23
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
24, 1, 20, 18
25, 1, 20, 18
17, 1, 20, 18
16, 1, 20, 18
16, 1, 10, 18
8, 1, 10, 18
8, 1, 10, 6
8, 1, 11, 6
8, 1, 3, 6
9, 1, 3, 6
9, 1, 3, 7
9, 11, 3, 7
9, 11, 13, 7
15, 11, 13, 7
14, 11, 13, 7
14, 15, 13, 7
14, 15, 13, 6
14, 15, 13, 12
0,0,5,4,5,4,2,5,5,0,3,2,3,2,4,3,2,4,1,0,1,0,0,1,3,1,0,0
0, 1, 26, 27
0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 7
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
7, 1, 26, 11
17, 1, 26, 11
16, 1, 26, 11
18, 1, 26, 11
8, 1, 26, 11
9, 1, 26, 11
9, 1, 26, 10
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 20
16, 1, 26, 20
24, 1, 26, 20
24, 1, 26, 21
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
16, 1, 20, 22
16, 1, 20, 8
17, 1, 20, 8
17, 1, 21, 8
17, 1, 21, 9
17, 1, 7, 9
5, 1, 7, 9
5, 11, 7, 9
4, 11, 7, 9
4, 10, 7, 9
14, 10, 7, 9
14, 6, 7, 9
14, 12, 7, 9
14, 12, 15, 9
14, 12, 15, 13
0,0,5,4,5,4,2,5,5,0,3,2,3,2,3,0,2,4,1,0,1,0,4,1,3,1,0,0
0, 1, 26, 27
0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 7
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
7, 1, 26, 11
17, 1, 26, 11
16, 1, 26, 11
18, 1, 26, 11
8, 1, 26, 11
9, 1, 26, 11
9, 1, 26, 10
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 20
16, 1, 26, 20
24, 1, 26, 20
24, 1, 26, 21
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
16, 1, 20, 22
16, 1, 20, 8
17, 1, 20, 8
17, 1, 21, 8
17, 1, 21, 9
17, 1, 7, 9
5, 1, 7, 9
5, 11, 7, 9
4, 11, 7, 9
4, 10, 7, 9
12, 10, 7, 9
12, 6, 7, 9
12, 14, 7, 9
12, 14, 7, 13
12, 15, 7, 13
12, 15, 6, 13
12, 15, 14, 13
0,0,5,4,5,4,2,0,0,5,3,2,3,2,5,3,2,4,1,0,1,0,4,1,3,1,0,0
0, 1, 26, 27
0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 16
0, 1, 26, 10
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
7, 1, 26, 11
17, 1, 26, 11
16, 1, 26, 11
18, 1, 26, 11
19, 1, 26, 11
19, 1, 26, 10
9, 1, 26, 10
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 20
16, 1, 26, 20
24, 1, 26, 20
24, 1, 26, 21
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
18, 1, 20, 22
18, 1, 21, 22
18, 1, 21, 16
10, 1, 21, 16
6, 1, 21, 16
7, 1, 21, 16
7, 1, 21, 17
7, 1, 9, 17
7, 1, 9, 5
7, 11, 9, 5
7, 10, 9, 5
7, 6, 9, 5
7, 12, 9, 5
7, 12, 13, 5
7, 12, 13, 15
7, 12, 13, 14
15, 12, 13, 14

Sun Mar 13 00:24:23 PST 2005
0,0,5,4,5,4,2,1,2,5,3,2,2,1,0,5,0,3,1,0,0,3,4,3,4,1,0,0 - solved
0, 1, 26, 27
0, 1, 26, 21
0, 1, 26, 20
0, 1, 26, 18
0, 1, 26, 19
0, 1, 26, 9
0, 1, 26, 7
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
11, 1, 26, 10
17, 1, 26, 10
16, 1, 26, 10
4, 1, 26, 10
4, 1, 26, 11
4, 1, 26, 3
5, 1, 26, 3
5, 7, 26, 3
5, 7, 26, 11
5, 7, 26, 17
11, 7, 26, 17
11, 7, 26, 16
17, 7, 26, 16
17, 11, 26, 16
17, 11, 26, 18
17, 11, 26, 19
17, 21, 26, 19
16, 21, 26, 19
24, 21, 26, 19
24, 21, 26, 9
24, 21, 26, 7
24, 21, 26, 11
24, 21, 26, 17
24, 20, 26, 17
24, 20, 26, 23
24, 20, 26, 22
24, 20, 18, 22
25, 20, 18, 22
15, 20, 18, 22
14, 20, 18, 22
14, 12, 18, 22
14, 13, 18, 22
14, 13, 12, 22
14, 13, 12, 23
14, 13, 12, 25
14, 13, 12, 15
previous solution is 48moves

Sun Mar 13 20:50:04 PST 2005
0,0,5,4,5,4,2,5,5,0,3,2,2,0,4,3,1,4,1,0,1,3,0,1,3,2,0,0
0, 1, 26, 27
0, 1, 26, 21
0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 7
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
7, 1, 26, 11
17, 1, 26, 11
16, 1, 26, 11
18, 1, 26, 11
8, 1, 26, 11
9, 1, 26, 11
9, 1, 26, 10
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 20
16, 1, 26, 20
24, 1, 26, 20
24, 1, 26, 21
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
18, 1, 20, 22
16, 1, 20, 22
16, 1, 20, 8
17, 1, 20, 8
17, 1, 21, 8
17, 1, 21, 9
17, 1, 7, 9
5, 1, 7, 9
5, 11, 7, 9
4, 11, 7, 9
4, 10, 7, 9
14, 10, 7, 9
14, 6, 7, 9
14, 6, 15, 9
14, 6, 15, 8
14, 12, 15, 8
14, 13, 15, 8
14, 13, 15, 12
previous solution is 48moves

Sun Mar 13 20:50:04 PST 2005
0,0,5,4,5,4,2,5,5,0,3,2,2,0,4,3,1,4,1,0,1,3,0,1,2,3,0,0
0, 1, 26, 27
0, 1, 26, 21
0, 1, 26, 20
0, 1, 26, 18
0, 1, 26, 16
0, 1, 26, 10
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
7, 1, 26, 11
17, 1, 26, 11
16, 1, 26, 11
18, 1, 26, 11
8, 1, 26, 11
9, 1, 26, 11
9, 1, 26, 10
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 20
17, 1, 26, 21
25, 1, 26, 21
25, 1, 26, 23
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
18, 1, 20, 22
16, 1, 20, 22
16, 1, 20, 8
17, 1, 20, 8
17, 1, 21, 8
17, 1, 21, 9
17, 1, 7, 9
5, 1, 7, 9
5, 11, 7, 9
4, 11, 7, 9
4, 10, 7, 9
14, 10, 7, 9
14, 6, 7, 9
14, 6, 15, 9
14, 6, 15, 8
14, 12, 15, 8
14, 13, 15, 8
14, 13, 15, 12
previous solution is 49moves

Sun Mar 13 20:56:42 PST 2005
0,0,5,4,5,4,2,5,5,0,3,2,2,0,3,0,1,4,1,0,1,3,4,1,3,2,0,0
0, 1, 26, 27
0, 1, 26, 21
0, 1, 26, 25
0, 1, 26, 17
0, 1, 26, 7
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
7, 1, 26, 11
17, 1, 26, 11
16, 1, 26, 11
18, 1, 26, 11
8, 1, 26, 11
9, 1, 26, 11
9, 1, 26, 10
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 20
16, 1, 26, 20
24, 1, 26, 20
24, 1, 26, 21
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
18, 1, 20, 22
16, 1, 20, 22
16, 1, 20, 8
17, 1, 20, 8
17, 1, 21, 8
17, 1, 21, 9
17, 1, 7, 9
5, 1, 7, 9
5, 11, 7, 9
4, 11, 7, 9
4, 10, 7, 9
4, 6, 7, 9
4, 6, 7, 8
12, 6, 7, 8
13, 6, 7, 8
13, 14, 7, 8
13, 14, 7, 12
13, 15, 7, 12
13, 15, 6, 12
13, 15, 14, 12
previous solution is 50moves

Sun Mar 13 20:56:42 PST 2005
0,0,5,4,5,4,2,5,5,0,3,2,2,0,3,0,1,4,1,0,1,3,4,1,2,3,0,0
0, 1, 26, 27
0, 1, 26, 21
0, 1, 26, 20
0, 1, 26, 18
0, 1, 26, 16
0, 1, 26, 10
0, 1, 26, 11
0, 1, 26, 3
0, 1, 26, 2
6, 1, 26, 2
6, 1, 26, 10
7, 1, 26, 10
7, 1, 26, 11
17, 1, 26, 11
16, 1, 26, 11
18, 1, 26, 11
8, 1, 26, 11
9, 1, 26, 11
9, 1, 26, 10
9, 1, 26, 6
9, 1, 26, 7
9, 1, 26, 17
9, 1, 26, 16
17, 1, 26, 16
17, 1, 26, 18
17, 1, 26, 20
17, 1, 26, 21
25, 1, 26, 21
25, 1, 26, 23
24, 1, 26, 23
24, 1, 26, 22
24, 1, 20, 22
18, 1, 20, 22
16, 1, 20, 22
16, 1, 20, 8
17, 1, 20, 8
17, 1, 21, 8
17, 1, 21, 9
17, 1, 7, 9
5, 1, 7, 9
5, 11, 7, 9
4, 11, 7, 9
4, 10, 7, 9
4, 6, 7, 9
4, 6, 7, 8
12, 6, 7, 8
13, 6, 7, 8
13, 14, 7, 8
13, 14, 7, 12
13, 15, 7, 12
13, 15, 6, 12
13, 15, 14, 12
previous solution is 51moves

Tue Jun 07 11:51:00 PDT 2005
A555533331112M
C444422200001S
CR4, SL1, CU, SU, ML1(+1), SL1(+1), ML3(+1), SL5(+2), AR3(+2), AD, AR2, CD
CR2, SR3
previous solution is 15 - 1 moves

Tue Jun 07 11:51:00 PDT 2005
A555533321111M
C444422230000S
CR4, ML1, ML1, ML1, ML2, CU, ML5(+1), AR3(+2), MR3(+2), CR2(+2), CR1, AR2(+1)
AR1(+1), AD, CD, SL3(+2), AL2(+2), AU, SL2, CL2
previous solution is 28 - 8 moves

Tue Jun 07 11:51:00 PDT 2005
A555533301111M
C444422230002S
CR4, ML1, ML1, ML1, ML1, CU, ML5(+1), AR3(+2), AD, MR3(+1), CD, CR3(+1), CU
AR3, CR1, AU, AR1(+1), AD, CD, SL3(+2), AL2(+2), AU, SL2, CL2
previous solution is 32 - 8 moves

Tue Jun 07 11:51:00 PDT 2005
A555533341111M
C444322220000S
ML1, ML4, ML5, MD, CR3(+1), CU, MU, AR3(+2), AD, AL4, AR3, CR4, CR1, AU
MR4(+1), MR1(+1), AR4, AR1(+2), AD, CD, MD, SL2(+3), AL2(+3), AU, SL2, CL2
MU, ML3
previous solution is 109 - 81 moves

Tue Jun 07 11:51:01 PDT 2005
A555433321111M
C444522230000S
AR4, ML1, ML1, ML1, ML2, ML3, AD, MD, AR3(+1), AU, AR1, MR3, MU, MR1(+1), MR1
AD, MD, SL3(+2), ML5(+2), AL4(+2), SL4(+2), CR2(+3), AR2(+2), SR2(+2), AU, SU
CR2, MR2
previous solution is 63 - 35 moves

Tue Jun 07 11:51:02 PDT 2005
A555433301111M
C444522230002S
AR4, ML1, ML1, ML1, ML1, ML5(+1), MD, MR2, AD, AR3(+1), AU, AR1, MR3, MU
MR1(+1), MR1, AD, MD, SL3(+2), ML5(+2), AL4(+2), SL4(+2), CR2(+3), AR2(+2)
SR2(+2), AU, SU, CR2, MR2
previous solution is 66 - 37 moves

Tue Jun 07 11:51:03 PDT 2005
A555433321111M
C444022230005S
AR4, ML1, ML1, ML1, ML2, ML3, AD, MD, AR3(+1), AU, AR1, MR3, MU, MR1(+1), AD
MD, SL3(+2), MU, ML2, ML4, MD, AL4(+2), SL4(+2), CR2(+3), AR2(+2), SR2(+2)
AU, SU, CR2, MR2
previous solution is 111 - 81 moves

Tue Jun 07 11:51:13 PDT 2005
A555533301104M
C444322220011S
SL1, SL1, SU, SL1, SD, SL2, SU, SL5, SD, CR3(+1), CU, SU, AR3(+2), AD
SR3(+1), CD, SD, CR2(+2), CU, AR2(+1), CR4, AU, CD, AR4, CL1, CU, ML1(+2)
AL3(+2), CL3(+2), CD, ML3(+1)
previous solution is 113 - 82 moves

Tue Jun 07 11:51:14 PDT 2005
A555433321100M
C444522230011S
AR4, SL1, SL1, SL3, AD, SU, SL3, SD, AR3(+1), AU, AR1, SR3, SU, SR1(+1), AD
SD, AR1(+1), SR1(+1), AU, SU, ML1(+2), AL1(+1), SL2(+2), AL4(+1), ML5(+2)
SL5(+2), AD, MD, SD, CR2(+3), SR2(+3), MU, SU, CR2, AR2, MR3(+1)
previous solution is 77 - 41 moves

Tue Jun 07 11:51:15 PDT 2005
A555433321105M
C444022230011S
AR4, SL1, SL1, SL3, AD, SU, SL3, SD, AR3(+1), AU, AR1, SR3, SU, SR1(+1), AD
SD, AR1(+1), SR1(+1), AU, SU, ML1(+2), AL1(+1), SL2(+2), AL4(+1), ML5(+2)
SL5(+2), AD, MD, SD, CR2(+3), SR2(+3), MU, SU, CR2, AR2, MR3(+1)
previous solution is 131 - 95 moves

Tue Jun 07 11:51:17 PDT 2005
A555333321105M
C444022240011S
SL1, SL4, SU, SL5, AR3(+1), AD, SD, SR4(+1), SU, AR4, SR1, AU, AR1(+1), AD
SD, SR1(+1), AR1(+1), AU, SU, ML1(+2), AL2(+2), AL3, SL2(+1), ML5(+2)
SL3(+1), AD, AL4, MD, SD, CR2(+3), AR2(+3), AU, CR2, MR2(+1), CU, SR2(+1)
previous solution is 41 - 5 moves

Tue Jun 07 11:51:51 PDT 2005
A555333301105M
C444122140022S
SL2, SU, SL1, SD, SR2, SL4, SU, SL5, AR3(+1), AD, SD, SR4(+1), SU, AR4, SR1
SD, AR2(+1), SR2(+1), AU, SU, ML1(+2), AL1(+1), SD, SL4, SU, ML5(+2), AL5(+2)
SL5(+2), AD, MD, SD, CR2(+3), SR2(+3), CR1(+1), AU, MU, AR3(+1), MR3(+1)
previous solution is 82 - 44 moves

Tue Jun 07 11:51:51 PDT 2005
A555333301102M
C444122140025S
SL2, SU, SL1, SR2, SD, SL4, SU, SL5, AR3(+1), AD, SD, SR4(+1), SU, AR4, SR1
SD, AR2(+1), AU, SU, SR2(+1), ML1(+2), AL1(+1), SD, SL4, SU, ML5(+2), AL5(+2)
SL5(+2), AD, MD, SD, CR2(+3), SR2(+3), CR1(+1), AU, MU, AR3(+1), MR3(+1)
previous solution is 102 - 64 moves

Tue Jun 07 11:55:10 PDT 2005
A552232001044M
C441521530331S
SL3, SU, SL1, SD, SL5, SL1, SR2, SL4, SU, AR2(+1), SR3(+1), AD, AR2, AR3, AU
AL5(+1), SD, SL4, AD, CR1(+2), SR2(+2), SR3, AR2(+1), SU, AR3, CR2, SR1, SD
CR3(+2), AU, AR4, SL5, SL1, SR2, SR3, CU, SR3, SU, ML1(+3), AD, AL5, AU
CL2(+2), CD, ML2(+1), SD, SR1, SL5
previous solution is 72 - 24 moves

Tue Jun 07 11:57:03 PDT 2005
A552532411103M
C445020340312S
SL3, SR2, SL4, SL5, SR2, SL4, SU, AR2(+1), SR3(+1), AD, SD, AR4(+1), AU, AR1
AL5, AD, SU, SL2, SD, SR4(+1), SU, AR4, SR1, SR1, AU, AR3(+1), SD, SR1, SU
ML1(+2), AL1(+2), AL1, SL5(+2), AD, MD, SD, ML5(+2), AL4(+2), CR2(+3), AU, CU
AR4(+1), CL2, MR3(+1), SU, CR2(+1), CD, SR2
previous solution is 108 - 60 moves

Tue Jun 07 11:57:03 PDT 2005
A552532411102M
C445020340313S
SL3, SU, SL1, SL1, SL3, SD, SL4, SU, AR2(+1), SR3(+1), AD, SD, AR4(+1), AU
AR1, AL5, AD, SU, SL2, SD, SR4(+1), SU, AR4, SR1, SR1, SD, AR3(+1), SR1, AU
SU, ML1(+2), AL1(+2), AL1, SL5(+2), AD, MD, SD, ML5(+2), AL4(+2), CR2(+3), AU
CU, AR4(+1), CL2, MR3(+1), SU, CR2(+1), CD, SR2
previous solution is 96 - 47 moves

